group,level,freq_rank,infinitive,english,also_adjective,also_adjective_note,eu,tu,ele_ela,nos,eles_elas_voces
Seeing & looking,A1,26,apresentar,to present,,,apresento,apresentas,apresenta,apresentamos,apresentam
Seeing & looking,A1,27,olhar,to look,,,olho,olhas,olha,olhamos,olham
Seeing & looking,A1,65,mostrar,to show,,,mostro,mostras,mostra,mostramos,mostram
Seeing & looking,A2,121,perceber,to realize / to notice,,,percebo,percebes,percebe,percebemos,percebem
Seeing & looking,A2,125,observar,to observe / to notice,,,observo,observas,observa,observamos,observam
Seeing & looking,A2,137,revelar,to reveal,,,revelo,revelas,revela,revelamos,revelam
Seeing & looking,A2,147,indicar,to indicate,,,indico,indicas,indica,indicamos,indicam
Seeing & looking,B1,155,destacar,to highlight,,,destaco,destacas,destaca,destacamos,destacam
Seeing & looking,B1,262,notar,to note,,,noto,notas,nota,notamos,notam
Seeing & looking,C1,411,salientar,to highlight,,,saliento,salientas,salienta,salientamos,salientam
Seeing & looking,C1,418,expor,to expose,,,exponho,expões,expõe,expomos,expõem
Seeing & looking,C1,428,encarar,to face,,,encaro,encaras,encara,encaramos,encaram
Seeing & looking,C2,486,exibir,to display,,,exibo,exibes,exibe,exibimos,exibem
Seeing & looking,C2,488,contemplar,to contemplate,,,contemplo,contemplas,contempla,contemplamos,contemplam
Hearing & sensing,A1,34,sentir,to feel,,,sinto,sentes,sente,sentimos,sentem
Hearing & sensing,A1,42,ouvir,to listen,,,ouço,ouves,ouve,ouvimos,ouvem
Hearing & sensing,A2,101,sofrer,to suffer,,,sofro,sofres,sofre,sofremos,sofrem
Hearing & sensing,C1,382,escutar,to listen,,,escuto,escutas,escuta,escutamos,escutam
Hearing & sensing,C1,391,provar,to taste,,,provo,provas,prova,provamos,provam
Hearing & sensing,C2,496,tremer,to shiver,,,tremo,tremes,treme,trememos,tremem
"Body, rest & daily routines",A1,130,sentar,to sit,,,sento,sentas,senta,sentamos,sentam
"Body, rest & daily routines",A1,153,rir,to laugh,,,rio,ris,ri,rimos,riem
"Body, rest & daily routines",A1,158,dormir,to sleep,,,durmo,dormes,dorme,dormimos,dormem
"Body, rest & daily routines",A1,196,sorrir,to smile,,,sorrio,sorris,sorri,sorrimos,sorriem
"Body, rest & daily routines",A1,206,chorar,to cry,,,choro,choras,chora,choramos,choram
"Body, rest & daily routines",A1,219,deitar,to lie down,,,deito,deitas,deita,deitamos,deitam
"Body, rest & daily routines",A1,293,acordar,to wake up,,,acordo,acordas,acorda,acordamos,acordam
"Body, rest & daily routines",A1,441,despertar,to awaken,,,desperto,despertas,desperta,despertamos,despertam
"Body, rest & daily routines",A2,513,alugar,to rent,,,alugo,alugas,aluga,alugamos,alugam
"Body, rest & daily routines",A2,525,arrumar,to tidy / put away,,,arrumo,arrumas,arruma,arrumamos,arrumam
"Body, rest & daily routines",A2,526,aspirar,to vacuum,,,aspiro,aspiras,aspira,aspiramos,aspiram
"Body, rest & daily routines",A2,527,pendurar,to hang,,,penduro,penduras,pendura,penduramos,penduram
"Body, rest & daily routines",A2,528,embalar,to pack / wrap,,,embalo,embalas,embala,embalamos,embalam
"Body, rest & daily routines",A2,529,tossir,to cough,,,tusso,tosses,tosse,tossimos,tossem
"Body, rest & daily routines",A2,530,espirrar,to sneeze,,,espirro,espirras,espirra,espirramos,espirram
"Body, rest & daily routines",A2,531,magoar,to hurt / injure,,,mago,magoas,magoa,magoamos,magoam
"Body, rest & daily routines",A2,532,curar,to heal / cure,,,curo,curas,cura,curamos,curam
"Body, rest & daily routines",A2,533,engolir,to swallow,,,engulo,engoles,engole,engolimos,engolem
"Body, rest & daily routines",A2,534,respirar,to breathe,,,respiro,respiras,respira,respiramos,respiram
"Body, rest & daily routines",A2,535,suar,to sweat,,,suo,suas,sua,suamos,suam
"Body, rest & daily routines",A2,536,emagrecer,to lose weight,,,emagreço,emagreces,emagrece,emagrecemos,emagrecem
"Body, rest & daily routines",A2,537,engordar,to gain weight,,,engordo,engordas,engorda,engordamos,engordam
"Body, rest & daily routines",B1,596,engomar,to iron,,,engomo,engomas,engoma,engomamos,engomam
"Body, rest & daily routines",B1,597,esticar,to stretch / hang out,,,estico,esticas,estica,esticamos,esticam
"Body, rest & daily routines",B1,598,desembalar,to unpack,,,desembalo,desembalas,desembala,desembalamos,desembalam
"Body, rest & daily routines",B1,599,arrendar,to rent out / lease,,,arrendo,arrendas,arrenda,arrendamos,arrendam
"Body, rest & daily routines",B1,600,decorar,to decorate,,,decoro,decoras,decora,decoramos,decoram
"Body, rest & daily routines",B1,601,desmontar,to dismantle,,,desmonto,desmontas,desmonta,desmontamos,desmontam
"Body, rest & daily routines",B1,602,sangrar,to bleed,,,sangro,sangras,sangra,sangramos,sangram
"Body, rest & daily routines",B1,603,inchar,to swell,,,incho,inchas,incha,inchamos,incham
"Body, rest & daily routines",B1,604,receitar,to prescribe,,,receito,receitas,receita,receitamos,receitam
"Body, rest & daily routines",B1,605,tremular,to tremble,,,tremulo,tremulas,tremula,tremulamos,tremulam
"Body, rest & daily routines",B1,606,desmaiar,to faint,,,desmaio,desmaias,desmaia,desmaiamos,desmaiam
"Body, rest & daily routines",B1,607,vomitar,to vomit,,,vomito,vomitas,vomita,vomitamos,vomitam
"Body, rest & daily routines",B1,608,examinar,to examine,,,examino,examinas,examina,examinamos,examinam
"Body, rest & daily routines",B1,609,exercitar,to exercise,,,exercito,exercitas,exercita,exercitamos,exercitam
"Body, rest & daily routines",B1,610,alongar,to stretch,,,alongo,alongas,alonga,alongamos,alongam
"Body, rest & daily routines",B2,684,diagnosticar,to diagnose,,,diagnostico,diagnosticas,diagnostica,diagnosticamos,diagnosticam
"Body, rest & daily routines",B2,737,debilitar,to debilitate,,,debilito,debilitas,debilita,debilitamos,debilitam
"Body, rest & daily routines",C1,429,sonhar,to dream,,,sonho,sonhas,sonha,sonhamos,sonham
Eating & drinking,A1,123,comer,to eat,,,como,comes,come,comemos,comem
Eating & drinking,A1,253,jantar,to dine,,,janto,jantas,janta,jantamos,jantam
Eating & drinking,A1,269,beber,to drink,,,bebo,bebes,bebe,bebemos,bebem
Eating & drinking,A1,500,cozinhar,to cook,,,cozinho,cozinhas,cozinha,cozinhamos,cozinham
Eating & drinking,A2,514,assar,to roast / bake,,,asso,assas,assa,assamos,assam
Eating & drinking,A2,515,ferver,to boil,,,fervo,ferves,ferve,fervemos,fervem
Eating & drinking,A2,517,fritar,to fry,,,frito,fritas,frita,fritamos,fritam
Eating & drinking,A2,518,grelhar,to grill,,,grelho,grelhas,grelha,grelhamos,grelham
Eating & drinking,A2,519,adicionar,to add,,,adiciono,adicionas,adiciona,adicionamos,adicionam
Eating & drinking,A2,520,descascar,to peel,,,descasco,descascas,descasca,descascamos,descascam
Eating & drinking,A2,521,congelar,to freeze,,,congelo,congelas,congela,congelamos,congelam
Eating & drinking,A2,522,aquecer,to heat / warm up,,,aqueço,aqueces,aquece,aquecemos,aquecem
Eating & drinking,A2,523,arrefecer,to cool down,,,arrefeço,arrefeces,arrefece,arrefecemos,arrefecem
Eating & drinking,A2,524,encomendar,to order (goods),,,encomendo,encomendas,encomenda,encomendamos,encomendam
Eating & drinking,B1,264,alimentar,to feed,,,alimento,alimentas,alimenta,alimentamos,alimentam
Eating & drinking,B1,590,saborear,to savour,,,saboreio,saboreias,saboreia,saboreamos,saboreiam
Eating & drinking,B1,591,temperar,to season,,,tempero,temperas,tempera,temperamos,temperam
Eating & drinking,B1,592,despejar,to pour / dump,,,despejo,despejas,despeja,despejamos,despejam
Eating & drinking,B1,593,ralar,to grate,,,ralo,ralas,rala,ralamos,ralam
Eating & drinking,B1,594,espremer,to squeeze,,,espremo,espremes,espreme,esprememos,espremem
Eating & drinking,B1,595,descongelar,to thaw,,,descongelo,descongelas,descongela,descongelamos,descongelam
Thinking & knowing,A1,11,saber,to know (facts/how),,,sei,sabes,sabe,sabemos,sabem
Thinking & knowing,A1,24,pensar,to think,,,penso,pensas,pensa,pensamos,pensam
Thinking & knowing,A1,32,achar,to find / to think,,,acho,achas,acha,achamos,acham
Thinking & knowing,A1,37,conhecer,to know / to meet (people/places),,,conheço,conheces,conhece,conhecemos,conhecem
Thinking & knowing,A1,66,lembrar,to remember,,,lembro,lembras,lembra,lembramos,lembram
Thinking & knowing,A1,81,entender,to understand,,,entendo,entendes,entende,entendemos,entendem
Thinking & knowing,A1,142,esquecer,to forget,,,esqueço,esqueces,esquece,esquecemos,esquecem
Thinking & knowing,A2,96,acreditar,to believe,,,acredito,acreditas,acredita,acreditamos,acreditam
Thinking & knowing,A2,117,compreender,to understand,,,compreendo,compreendes,compreende,compreendemos,compreendem
Thinking & knowing,A2,129,reconhecer,to acknowledge,,,reconheço,reconheces,reconhece,reconhecemos,reconhecem
Thinking & knowing,A2,138,prever,to foresee / to predict,,,prevejo,prevês,prevê,prevemos,prevêem
Thinking & knowing,B1,197,imaginar,to imagine,,,imagino,imaginas,imagina,imaginamos,imaginam
Thinking & knowing,B1,203,admitir,to admit,,,admito,admites,admite,admitimos,admitem
Thinking & knowing,B1,215,propor,to propose,,,proponho,propões,propõe,propomos,propõem
Thinking & knowing,B1,240,confirmar,to confirm,,,confirmo,confirmas,confirma,confirmamos,confirmam
Thinking & knowing,B1,311,sugerir,to suggest,,,sugiro,sugeres,sugere,sugerimos,sugerem
Thinking & knowing,B2,38,considerar,to consider,,,considero,consideras,considera,consideramos,consideram
Thinking & knowing,B2,54,afirmar,to state,,,afirmo,afirmas,afirma,afirmamos,afirmam
Thinking & knowing,B2,261,declarar,to state,,,declaro,declaras,declara,declaramos,declaram
Thinking & knowing,B2,285,recordar,to recall,,,recordo,recordas,recorda,recordamos,recordam
Thinking & knowing,B2,301,crer,to believe,,,creio,crês,crê,cremos,crêem
Thinking & knowing,B2,308,negar,to deny,,,nego,negas,nega,negamos,negam
Thinking & knowing,B2,371,distinguir,to distinguish,,,distingo,distingues,distingue,distinguimos,distinguem
Thinking & knowing,B2,389,supor,to suppose,,,suponho,supões,supõe,supomos,supõem
Thinking & knowing,B2,413,interpretar,to interpret,,,interpreto,interpretas,interpreta,interpretamos,interpretam
Thinking & knowing,B2,458,confessar,to confess,,,confesso,confessas,confessa,confessamos,confessam
Thinking & knowing,C1,327,reflectir,to reflect,,,reflito,refletes,reflete,refletimos,refletem
Thinking & knowing,C1,408,concentrar,to concentrate,,,concentro,concentras,concentra,concentramos,concentram
Thinking & knowing,C2,479,alegar,to allege,,,alego,alegas,alega,alegamos,alegam
"Learning, reading & writing",A1,52,contar,to count,,,conto,contas,conta,contamos,contam
"Learning, reading & writing",A1,62,escrever,to write,,,escrevo,escreves,escreve,escrevemos,escrevem
"Learning, reading & writing",A1,83,ler,to read,,,leio,lês,lê,lemos,lêem
"Learning, reading & writing",A1,99,estudar,to study,,,estudo,estudas,estuda,estudamos,estudam
"Learning, reading & writing",A1,218,aprender,to learn,,,aprendo,aprendes,aprende,aprendemos,aprendem
"Learning, reading & writing",A1,339,ensinar,to teach,,,ensino,ensinas,ensina,ensinamos,ensinam
"Learning, reading & writing",A2,94,explicar,to explain,,,explico,explicas,explica,explicamos,explicam
"Learning, reading & writing",A2,105,referir,to refer,,,refiro,referes,refere,referimos,referem
"Learning, reading & writing",A2,134,publicar,to publish,,,publico,publicas,publica,publicamos,publicam
"Learning, reading & writing",A2,544,imprimir,to print,,,imprimo,imprimes,imprime,imprimimos,imprimem
"Learning, reading & writing",A2,545,fotocopiar,to photocopy,,,fotocopio,fotocopias,fotocopia,fotocopiamos,fotocopiam
"Learning, reading & writing",A2,546,cancelar,to cancel,,,cancelo,cancelas,cancela,cancelamos,cancelam
"Learning, reading & writing",A2,547,falhar,to fail / miss,,,falho,falhas,falha,falhamos,falham
"Learning, reading & writing",A2,548,reprovar,to fail (exam) / reject,,,reprovo,reprovas,reprova,reprovamos,reprovam
"Learning, reading & writing",A2,549,matricular,to enrol,,,matriculo,matriculas,matricula,matriculamos,matriculam
"Learning, reading & writing",A2,550,corrigir,to correct,,,corrijo,corriges,corrige,corrigimos,corrigem
"Learning, reading & writing",B1,238,descrever,to describe,,,descrevo,descreves,descreve,descrevemos,descrevem
"Learning, reading & writing",B1,248,demonstrar,to demonstrate,,,demonstro,demonstras,demonstra,demonstramos,demonstram
"Learning, reading & writing",B1,263,citar,to cite,,,cito,citas,cita,citamos,citam
"Learning, reading & writing",B1,620,candidatar,to apply (for a job),,,candidato,candidatas,candidata,candidatamos,candidatam
"Learning, reading & writing",B1,621,contratar,to hire,,,contrato,contratas,contrata,contratamos,contratam
"Learning, reading & writing",B1,622,despedir,to fire / dismiss,,,despeço,despedes,despede,despedimos,despedem
"Learning, reading & writing",B1,623,reformar,to retire / reform,,,reformo,reformas,reforma,reformamos,reformam
"Learning, reading & writing",B1,624,gerir,to manage,,,giro,geres,gere,gerimos,gerem
"Learning, reading & writing",B1,625,liderar,to lead,,,lidero,lideras,lidera,lideramos,lideram
"Learning, reading & writing",B1,626,faturar,to invoice / bill,,,faturo,faturas,fatura,faturamos,faturam
"Learning, reading & writing",B1,627,arquivar,to file / archive,,,arquivo,arquivas,arquiva,arquivamos,arquivam
"Learning, reading & writing",B1,628,agendar,to schedule,,,agendo,agendas,agenda,agendamos,agendam
"Learning, reading & writing",B1,629,adiar,to postpone,,,adio,adias,adia,adiamos,adiam
"Learning, reading & writing",B1,630,graduar,to graduate,,,graduo,graduas,gradua,graduamos,graduam
"Learning, reading & writing",B1,631,pesquisar,to research / search,,,pesquiso,pesquisas,pesquisa,pesquisamos,pesquisam
"Learning, reading & writing",B1,632,consultar,to consult,,,consulto,consultas,consulta,consultamos,consultam
"Learning, reading & writing",B1,633,resumir,to summarise,,,resumo,resumes,resume,resumimos,resumem
"Learning, reading & writing",B1,634,redigir,to draft / write,,,redijo,rediges,redige,redigimos,redigem
"Learning, reading & writing",B1,635,revisar,to revise / review,,,reviso,revisas,revisa,revisamos,revisam
"Learning, reading & writing",B1,636,memorizar,to memorise,,,memorizo,memorizas,memoriza,memorizamos,memorizam
"Learning, reading & writing",B1,637,distrair,to distract,,,distraio,distrais,distrai,distraímos,distraem
"Learning, reading & writing",B2,364,assinar,to sign,,,assino,assinas,assina,assinamos,assinam
"Learning, reading & writing",B2,377,registrar,to register,,,registro,registras,registra,registramos,registram
"Learning, reading & writing",B2,442,traduzir,to translate,,,traduzo,traduzes,traduz,traduzimos,traduzem
"Learning, reading & writing",B2,686,supervisionar,to supervise,,,supervisiono,supervisionas,supervisiona,supervisionamos,supervisionam
"Learning, reading & writing",B2,687,delegar,to delegate,,,delego,delegas,delega,delegamos,delegam
"Learning, reading & writing",B2,688,orçamentar,to budget,,,orçamento,orçamentas,orçamenta,orçamentamos,orçamentam
"Learning, reading & writing",B2,700,teorizar,to theorise,,,teorizo,teorizas,teoriza,teorizamos,teorizam
"Learning, reading & writing",B2,701,conceptualizar,to conceptualise,,,conceptualizo,conceptualizas,conceptualiza,conceptualizamos,conceptualizam
"Learning, reading & writing",B2,702,problematizar,to problematise,,,problematizo,problematizas,problematiza,problematizamos,problematizam
"Learning, reading & writing",B2,703,contextualizar,to contextualise,,,contextualizo,contextualizas,contextualiza,contextualizamos,contextualizam
"Learning, reading & writing",B2,704,enquadrar,to frame / situate,,,enquadro,enquadras,enquadra,enquadramos,enquadram
"Learning, reading & writing",B2,705,delinear,to outline,,,delineio,delineias,delineia,delineamos,delineiam
"Learning, reading & writing",B2,706,esboçar,to sketch / draft,,,esboço,esboças,esboça,esboçamos,esboçam
"Learning, reading & writing",B2,707,formular,to formulate,,,formulo,formulas,formula,formulamos,formulam
"Learning, reading & writing",B2,708,reformular,to reformulate,,,reformulo,reformulas,reformula,reformulamos,reformulam
"Learning, reading & writing",B2,709,reestruturar,to restructure,,,reestruturo,reestruturas,reestrutura,reestruturamos,reestruturam
"Learning, reading & writing",B2,711,reavaliar,to reassess,,,reavalio,reavalias,reavalia,reavaliamos,reavaliam
"Learning, reading & writing",B2,712,reexaminar,to re-examine,,,reexamino,reexaminas,reexamina,reexaminamos,reexaminam
"Learning, reading & writing",B2,718,enunciar,to enunciate / state,,,enuncio,enuncias,enuncia,enunciamos,enunciam
"Learning, reading & writing",B2,719,explicitar,to make explicit,,,explicito,explicitas,explicita,explicitamos,explicitam
"Learning, reading & writing",B2,720,elucidar,to elucidate,,,elucido,elucidas,elucida,elucidamos,elucidam
"Learning, reading & writing",B2,734,consolidar,to consolidate,,,consolido,consolidas,consolida,consolidamos,consolidam
"Learning, reading & writing",B2,743,monitorizar,to monitor,,,monitorizo,monitorizas,monitoriza,monitorizamos,monitorizam
"Learning, reading & writing",B2,745,auditar,to audit,,,audito,auditas,audita,auditamos,auditam
"Learning, reading & writing",B2,746,validar,to validate,,,valido,validas,valida,validamos,validam
"Learning, reading & writing",B2,747,certificar,to certify,,,certifico,certificas,certifica,certificamos,certificam
"Learning, reading & writing",B2,766,financiar,to finance,,,financio,financias,financia,financiamos,financiam
"Learning, reading & writing",B2,767,cofinanciar,to co-finance,,,cofinancio,cofinancias,cofinancia,cofinanciamos,cofinanciam
"Learning, reading & writing",B2,768,alocar,to allocate,,,aloco,alocas,aloca,alocamos,alocam
"Learning, reading & writing",B2,792,dissertar,to discourse / write a dissertation,,,disserto,dissertas,disserta,dissertamos,dissertam
"Learning, reading & writing",B2,793,discorrer,to discourse / speak at length,,,discorro,discorres,discorre,discorremos,discorrem
"Learning, reading & writing",B2,794,contraargumentar,to counter-argue,,,contraargumento,contraargumentas,contraargumenta,contraargumentamos,contraargumentam
"Learning, reading & writing",B2,795,refutar,to refute,,,refuto,refutas,refuta,refutamos,refutam
"Learning, reading & writing",B2,802,referenciar,to reference,,,referencio,referencias,referencia,referenciamos,referenciam
"Learning, reading & writing",B2,803,documentar,to document,,,documento,documentas,documenta,documentamos,documentam
"Learning, reading & writing",B2,804,catalogar,to catalogue,,,catalogo,catalogas,cataloga,catalogamos,catalogam
"Learning, reading & writing",B2,806,sistematizar,to systematise,,,sistematizo,sistematizas,sistematiza,sistematizamos,sistematizam
"Learning, reading & writing",B2,807,categorizar,to categorise,,,categorizo,categorizas,categoriza,categorizamos,categorizam
"Learning, reading & writing",B2,808,tipificar,to typify / classify,,,tipifico,tipificas,tipifica,tipificamos,tipificam
"Learning, reading & writing",B2,809,hierarquizar,to hierarchise,,,hierarquizo,hierarquizas,hierarquiza,hierarquizamos,hierarquizam
"Learning, reading & writing",B2,810,priorizar,to prioritise,,,priorizo,priorizas,prioriza,priorizamos,priorizam
"Learning, reading & writing",B2,811,otimizar,to optimise,,,otimizo,otimizas,otimiza,otimizamos,otimizam
"Learning, reading & writing",B2,812,maximizar,to maximise,,,maximizo,maximizas,maximiza,maximizamos,maximizam
"Learning, reading & writing",B2,813,minimizar,to minimise,,,minimizo,minimizas,minimiza,minimizamos,minimizam
"Learning, reading & writing",B2,814,racionalizar,to rationalise,,,racionalizo,racionalizas,racionaliza,racionalizamos,racionalizam
"Learning, reading & writing",B2,815,padronizar,to standardise,,,padronizo,padronizas,padroniza,padronizamos,padronizam
"Learning, reading & writing",B2,816,uniformizar,to make uniform,,,uniformizo,uniformizas,uniformiza,uniformizamos,uniformizam
"Learning, reading & writing",B2,818,compatibilizar,to make compatible,,,compatibilizo,compatibilizas,compatibiliza,compatibilizamos,compatibilizam
"Learning, reading & writing",B2,820,alinhar,to align,,,alinho,alinhas,alinha,alinhamos,alinham
"Learning, reading & writing",B2,821,desalinhar,to misalign,,,desalinho,desalinhas,desalinha,desalinhamos,desalinham
"Learning, reading & writing",B2,822,coordenar,to coordinate,,,coordeno,coordenas,coordena,coordenamos,coordenam
"Learning, reading & writing",B2,824,implementar,to implement,,,implemento,implementas,implementa,implementamos,implementam
"Learning, reading & writing",B2,825,operacionalizar,to operationalise,,,operacionalizo,operacionalizas,operacionaliza,operacionalizamos,operacionalizam
"Learning, reading & writing",B2,828,efetivar,to put into effect,,,efetivo,efetivas,efetiva,efetivamos,efetivam
"Learning, reading & writing",B2,829,viabilizar,to make viable,,,viabilizo,viabilizas,viabiliza,viabilizamos,viabilizam
"Learning, reading & writing",C1,350,registar,to register / to record,,,registo,registas,regista,registamos,registam
"Learning, reading & writing",C1,419,esclarecer,to clarify,,,esclareço,esclareces,esclarece,esclarecemos,esclarecem
"Learning, reading & writing",C1,423,gravar,to record / to engrave,,,gravo,gravas,grava,gravamos,gravam
Speaking & communicating,A1,8,dizer,to say,,,digo,dizes,diz,dizemos,dizem
Speaking & communicating,A1,18,falar,to talk,,,falo,falas,fala,falamos,falam
Speaking & communicating,A1,36,chamar,to call,,,chamo,chamas,chama,chamamos,chamam
Speaking & communicating,A1,210,gritar,to shout,,,grito,gritas,grita,gritamos,gritam
Speaking & communicating,B1,162,anunciar,to announce,,,anuncio,anuncias,anuncia,anunciamos,anunciam
Speaking & communicating,B1,216,informar,to inform,,,informo,informas,informa,informamos,informam
Speaking & communicating,B1,244,prometer,to promise,,,prometo,prometes,promete,prometemos,prometem
Speaking & communicating,B1,247,conversar,to chat,,,converso,conversas,conversa,conversamos,conversam
Speaking & communicating,B1,288,comentar,to comment,,,comento,comentas,comenta,comentamos,comentam
Speaking & communicating,B2,287,calar,to shut up,,,calo,calas,cala,calamos,calam
Speaking & communicating,B2,322,divulgar,to disclose,,,divulgo,divulgas,divulga,divulgamos,divulgam
Speaking & communicating,B2,330,transmitir,to transmit,,,transmito,transmites,transmite,transmitimos,transmitem
Speaking & communicating,B2,347,manifestar,to manifest,,,manifesto,manifestas,manifesta,manifestamos,manifestam
Speaking & communicating,C1,386,emitir,to issue,,,emito,emites,emite,emitimos,emitem
Speaking & communicating,C1,407,convencer,to convince,,,convenço,convences,convence,convencemos,convencem
Speaking & communicating,C1,430,avisar,to warn,,,aviso,avisas,avisa,avisamos,avisam
Speaking & communicating,C1,444,comunicar,to communicate / to report,,,comunico,comunicas,comunica,comunicamos,comunicam
Speaking & communicating,C2,445,exclamar,to exclaim,,,exclamo,exclamas,exclama,exclamamos,exclamam
Speaking & communicating,C2,464,murmurar,to murmur,,,murmuro,murmuras,murmura,murmuramos,murmuram
"Asking, answering & arguing",A1,50,pedir,to ask for / to request,,,peço,pedes,pede,pedimos,pedem
"Asking, answering & arguing",A1,85,perguntar,to ask,,,pergunto,perguntas,pergunta,perguntamos,perguntam
"Asking, answering & arguing",A1,91,responder,to reply,,,respondo,respondes,responde,respondemos,respondem
"Asking, answering & arguing",A1,291,convidar,to invite,,,convido,convidas,convida,convidamos,convidam
"Asking, answering & arguing",A2,127,aceitar,to accept,,,aceito,aceitas,aceita,aceitamos,aceitam
"Asking, answering & arguing",B1,163,exigir,to demand,,,exijo,exiges,exige,exigimos,exigem
"Asking, answering & arguing",B1,170,eleger,to elect,,,elejo,eleges,elege,elegemos,elegem
"Asking, answering & arguing",B1,198,discutir,to discuss,,,discuto,discutes,discute,discutimos,discutem
"Asking, answering & arguing",B1,223,acusar,to accuse,,,acuso,acusas,acusa,acusamos,acusam
"Asking, answering & arguing",B1,279,atender,to answer / to attend to,,,atendo,atendes,atende,atendemos,atendem
"Asking, answering & arguing",B1,310,recusar,to refuse,,,recuso,recusas,recusa,recusamos,recusam
"Asking, answering & arguing",B1,321,insistir,to insist,,,insisto,insistes,insiste,insistimos,insistem
"Asking, answering & arguing",B1,323,concordar,to agree,,,concordo,concordas,concorda,concordamos,concordam
"Asking, answering & arguing",B2,306,votar,to vote,,,voto,votas,vota,votamos,votam
"Asking, answering & arguing",B2,316,justificar,to justify,,,justifico,justificas,justifica,justificamos,justificam
"Asking, answering & arguing",B2,355,criticar,to criticize,,,critico,criticas,critica,criticamos,criticam
"Asking, answering & arguing",B2,365,aprovar,to approve,,,aprovo,aprovas,aprova,aprovamos,aprovam
"Asking, answering & arguing",B2,372,opor,to oppose,,,oponho,opões,opõe,opomos,opõem
"Asking, answering & arguing",C1,400,reclamar,to complain / to claim,,,reclamo,reclamas,reclama,reclamamos,reclamam
"Asking, answering & arguing",C1,417,recorrer,to resort to / to appeal,,,recorro,recorres,recorre,recorremos,recorrem
"Asking, answering & arguing",C1,424,denunciar,to report,,,denuncio,denuncias,denuncia,denunciamos,denunciam
"Asking, answering & arguing",C2,472,requerer,to request,,,requeiro,requeres,requer,requeremos,requerem
"Asking, answering & arguing",C2,477,solicitar,to request,,,solicito,solicitas,solicita,solicitamos,solicitam
"Asking, answering & arguing",C2,495,rejeitar,to reject,,,rejeito,rejeitas,rejeita,rejeitamos,rejeitam
"Asking, answering & arguing",C2,499,convocar,to convene,,,convoco,convocas,convoca,convocamos,convocam
Emotions & attitudes,A1,57,gostar,to like,,,gosto,gostas,gosta,gostamos,gostam
Emotions & attitudes,A1,228,amar,to love,,,amo,amas,ama,amamos,amam
Emotions & attitudes,A1,501,agradecer,to thank,,,agradeço,agradeces,agradece,agradecemos,agradecem
Emotions & attitudes,A2,229,interessar,to interest,,,interesso,interessas,interessa,interessamos,interessam
Emotions & attitudes,A2,314,preocupar,to worry,,,preocupo,preocupas,preocupa,preocupamos,preocupam
Emotions & attitudes,A2,507,odiar,to hate,,,odeio,odeias,odeia,odiamos,odeiam
Emotions & attitudes,A2,508,relaxar,to relax,,,relaxo,relaxas,relaxa,relaxamos,relaxam
Emotions & attitudes,A2,538,assustar,to frighten,,,assusto,assustas,assusta,assustamos,assustam
Emotions & attitudes,A2,539,irritar,to irritate,,,irrito,irritas,irrita,irritamos,irritam
Emotions & attitudes,A2,540,acalmar,to calm,,,acalmo,acalmas,acalma,acalmamos,acalmam
Emotions & attitudes,A2,541,animar,to cheer up / encourage,,,animo,animas,anima,animamos,animam
Emotions & attitudes,A2,542,desculpar,to excuse / apologise,,,desculpo,desculpas,desculpa,desculpamos,desculpam
Emotions & attitudes,A2,543,confiar,to trust,,,confio,confias,confia,confiamos,confiam
Emotions & attitudes,B1,191,desejar,to wish,,,desejo,desejas,deseja,desejamos,desejam
Emotions & attitudes,B1,209,aproveitar,to take advantage of / to enjoy,,,aproveito,aproveitas,aproveita,aproveitamos,aproveitam
Emotions & attitudes,B1,611,alegrar,to cheer up / gladden,,,alegro,alegras,alegra,alegramos,alegram
Emotions & attitudes,B1,612,entristecer,to sadden,,,entristeço,entristeces,entristece,entristecemos,entristecem
Emotions & attitudes,B1,613,decepcionar,to disappoint,,,decepciono,decepcionas,decepciona,decepcionamos,decepcionam
Emotions & attitudes,B1,614,frustrar,to frustrate,,,frustro,frustras,frustra,frustramos,frustram
Emotions & attitudes,B1,615,consolar,to comfort,,,consolo,consolas,consola,consolamos,consolam
Emotions & attitudes,B1,616,motivar,to motivate,,,motivo,motivas,motiva,motivamos,motivam
Emotions & attitudes,B1,617,lamentar,to regret / be sorry,,,lamento,lamentas,lamenta,lamentamos,lamentam
Emotions & attitudes,B1,618,arrepender,to regret,,,arrependo,arrependes,arrepende,arrependemos,arrependem
Emotions & attitudes,B1,619,desconfiar,to distrust,,,desconfio,desconfias,desconfia,desconfiamos,desconfiam
Emotions & attitudes,B2,334,temer,to fear,,,temo,temes,teme,tememos,temem
Emotions & attitudes,B2,349,atrair,to attract,,,atraio,atrais,atrai,atraímos,atraem
Emotions & attitudes,B2,435,surpreender,to surprise,,,surpreendo,surpreendes,surpreende,surpreendemos,surpreendem
Emotions & attitudes,B2,450,ignorar,to ignore,,,ignoro,ignoras,ignora,ignoramos,ignoram
Emotions & attitudes,B2,685,invejar,to envy,,,invejo,invejas,inveja,invejamos,invejam
Emotions & attitudes,B2,837,seduzir,to seduce / entice,,,seduzo,seduzes,seduz,seduzimos,seduzem
Emotions & attitudes,C1,438,satisfazer,to satisfy,,,satisfaço,satisfazes,satisfaz,satisfazemos,satisfazem
Emotions & attitudes,C2,461,admirar,to admire,,,admiro,admiras,admira,admiramos,admiram
