group,level,freq_rank,infinitive,english,also_adjective,also_adjective_note,eu,tu,ele_ela,nos,eles_elas_voces
Thinking & knowing,A1,142,esquecer,to forget,,,esqueço,esqueces,esquece,esquecemos,esquecem
Thinking & knowing,A2,96,acreditar,to believe,,,acredito,acreditas,acredita,acreditamos,acreditam
Thinking & knowing,A2,117,compreender,to understand,,,compreendo,compreendes,compreende,compreendemos,compreendem
Thinking & knowing,A2,129,reconhecer,to acknowledge,,,reconheço,reconheces,reconhece,reconhecemos,reconhecem
Thinking & knowing,A2,138,prever,to foresee / to predict,,,prevejo,prevês,prevê,prevemos,prevêem
Thinking & knowing,B1,197,imaginar,to imagine,,,imagino,imaginas,imagina,imaginamos,imaginam
Thinking & knowing,B1,203,admitir,to admit,,,admito,admites,admite,admitimos,admitem
Thinking & knowing,B1,215,propor,to propose,,,proponho,propões,propõe,propomos,propõem
Thinking & knowing,B1,240,confirmar,to confirm,,,confirmo,confirmas,confirma,confirmamos,confirmam
Thinking & knowing,B1,311,sugerir,to suggest,,,sugiro,sugeres,sugere,sugerimos,sugerem
Thinking & knowing,B2,38,considerar,to consider,,,considero,consideras,considera,consideramos,consideram
Thinking & knowing,B2,54,afirmar,to state,,,afirmo,afirmas,afirma,afirmamos,afirmam
Thinking & knowing,B2,261,declarar,to state,,,declaro,declaras,declara,declaramos,declaram
Thinking & knowing,B2,285,recordar,to recall,,,recordo,recordas,recorda,recordamos,recordam
Thinking & knowing,B2,301,crer,to believe,,,creio,crês,crê,cremos,crêem
Thinking & knowing,B2,308,negar,to deny,,,nego,negas,nega,negamos,negam
Thinking & knowing,B2,371,distinguir,to distinguish,,,distingo,distingues,distingue,distinguimos,distinguem
Thinking & knowing,B2,389,supor,to suppose,,,suponho,supões,supõe,supomos,supõem
Thinking & knowing,B2,413,interpretar,to interpret,,,interpreto,interpretas,interpreta,interpretamos,interpretam
Thinking & knowing,B2,458,confessar,to confess,,,confesso,confessas,confessa,confessamos,confessam
Thinking & knowing,C1,327,reflectir,to reflect,,,reflito,refletes,reflete,refletimos,refletem
Thinking & knowing,C1,408,concentrar,to concentrate,,,concentro,concentras,concentra,concentramos,concentram
Thinking & knowing,C2,479,alegar,to allege,,,alego,alegas,alega,alegamos,alegam
"Learning, reading & writing",A1,52,contar,to count,,,conto,contas,conta,contamos,contam
"Learning, reading & writing",A1,62,escrever,to write,,,escrevo,escreves,escreve,escrevemos,escrevem
"Learning, reading & writing",A1,83,ler,to read,,,leio,lês,lê,lemos,lêem
"Learning, reading & writing",A1,99,estudar,to study,,,estudo,estudas,estuda,estudamos,estudam
"Learning, reading & writing",A1,218,aprender,to learn,,,aprendo,aprendes,aprende,aprendemos,aprendem
"Learning, reading & writing",A1,339,ensinar,to teach,,,ensino,ensinas,ensina,ensinamos,ensinam
"Learning, reading & writing",A2,94,explicar,to explain,,,explico,explicas,explica,explicamos,explicam
"Learning, reading & writing",A2,105,referir,to refer,,,refiro,referes,refere,referimos,referem
"Learning, reading & writing",A2,134,publicar,to publish,,,publico,publicas,publica,publicamos,publicam
"Learning, reading & writing",B1,238,descrever,to describe,,,descrevo,descreves,descreve,descrevemos,descrevem
"Learning, reading & writing",B1,248,demonstrar,to demonstrate,,,demonstro,demonstras,demonstra,demonstramos,demonstram
"Learning, reading & writing",B1,263,citar,to cite,,,cito,citas,cita,citamos,citam
"Learning, reading & writing",B2,364,assinar,to sign,,,assino,assinas,assina,assinamos,assinam
"Learning, reading & writing",B2,377,registrar,to register,,,registro,registras,registra,registramos,registram
"Learning, reading & writing",B2,442,traduzir,to translate,,,traduzo,traduzes,traduz,traduzimos,traduzem
"Learning, reading & writing",C1,350,registar,to register / to record,,,registo,registas,regista,registamos,registam
"Learning, reading & writing",C1,419,esclarecer,to clarify,,,esclareço,esclareces,esclarece,esclarecemos,esclarecem
"Learning, reading & writing",C1,423,gravar,to record / to engrave,,,gravo,gravas,grava,gravamos,gravam
Speaking & communicating,A1,8,dizer,to say,,,digo,dizes,diz,dizemos,dizem
Speaking & communicating,A1,18,falar,to talk,,,falo,falas,fala,falamos,falam
Speaking & communicating,A1,36,chamar,to call,,,chamo,chamas,chama,chamamos,chamam
Speaking & communicating,A1,210,gritar,to shout,,,grito,gritas,grita,gritamos,gritam
Speaking & communicating,B1,162,anunciar,to announce,,,anuncio,anuncias,anuncia,anunciamos,anunciam
Speaking & communicating,B1,216,informar,to inform,,,informo,informas,informa,informamos,informam
Speaking & communicating,B1,244,prometer,to promise,,,prometo,prometes,promete,prometemos,prometem
Speaking & communicating,B1,247,conversar,to chat,,,converso,conversas,conversa,conversamos,conversam
Speaking & communicating,B1,288,comentar,to comment,,,comento,comentas,comenta,comentamos,comentam
Speaking & communicating,B2,287,calar,to shut up,,,calo,calas,cala,calamos,calam
Speaking & communicating,B2,322,divulgar,to disclose,,,divulgo,divulgas,divulga,divulgamos,divulgam
Speaking & communicating,B2,330,transmitir,to transmit,,,transmito,transmites,transmite,transmitimos,transmitem
Speaking & communicating,B2,347,manifestar,to manifest,,,manifesto,manifestas,manifesta,manifestamos,manifestam
Speaking & communicating,C1,386,emitir,to issue,,,emito,emites,emite,emitimos,emitem
Speaking & communicating,C1,407,convencer,to convince,,,convenço,convences,convence,convencemos,convencem
Speaking & communicating,C1,430,avisar,to warn,,,aviso,avisas,avisa,avisamos,avisam
Speaking & communicating,C1,444,comunicar,to communicate / to report,,,comunico,comunicas,comunica,comunicamos,comunicam
Speaking & communicating,C2,445,exclamar,to exclaim,,,exclamo,exclamas,exclama,exclamamos,exclamam
Speaking & communicating,C2,464,murmurar,to murmur,,,murmuro,murmuras,murmura,murmuramos,murmuram
"Asking, answering & arguing",A1,50,pedir,to ask for / to request,,,peço,pedes,pede,pedimos,pedem
"Asking, answering & arguing",A1,85,perguntar,to ask,,,pergunto,perguntas,pergunta,perguntamos,perguntam
"Asking, answering & arguing",A1,91,responder,to reply,,,respondo,respondes,responde,respondemos,respondem
"Asking, answering & arguing",A1,291,convidar,to invite,,,convido,convidas,convida,convidamos,convidam
"Asking, answering & arguing",A2,127,aceitar,to accept,,,aceito,aceitas,aceita,aceitamos,aceitam
"Asking, answering & arguing",B1,163,exigir,to demand,,,exijo,exiges,exige,exigimos,exigem
"Asking, answering & arguing",B1,170,eleger,to elect,,,elejo,eleges,elege,elegemos,elegem
"Asking, answering & arguing",B1,198,discutir,to discuss,,,discuto,discutes,discute,discutimos,discutem
"Asking, answering & arguing",B1,223,acusar,to accuse,,,acuso,acusas,acusa,acusamos,acusam
"Asking, answering & arguing",B1,279,atender,to answer / to attend to,,,atendo,atendes,atende,atendemos,atendem
"Asking, answering & arguing",B1,310,recusar,to refuse,,,recuso,recusas,recusa,recusamos,recusam
"Asking, answering & arguing",B1,321,insistir,to insist,,,insisto,insistes,insiste,insistimos,insistem
"Asking, answering & arguing",B1,323,concordar,to agree,,,concordo,concordas,concorda,concordamos,concordam
"Asking, answering & arguing",B2,306,votar,to vote,,,voto,votas,vota,votamos,votam
"Asking, answering & arguing",B2,316,justificar,to justify,,,justifico,justificas,justifica,justificamos,justificam
"Asking, answering & arguing",B2,355,criticar,to criticize,,,critico,criticas,critica,criticamos,criticam
"Asking, answering & arguing",B2,365,aprovar,to approve,,,aprovo,aprovas,aprova,aprovamos,aprovam
"Asking, answering & arguing",B2,372,opor,to oppose,,,oponho,opões,opõe,opomos,opõem
"Asking, answering & arguing",C1,400,reclamar,to complain / to claim,,,reclamo,reclamas,reclama,reclamamos,reclamam
"Asking, answering & arguing",C1,417,recorrer,to resort to / to appeal,,,recorro,recorres,recorre,recorremos,recorrem
"Asking, answering & arguing",C1,424,denunciar,to report,,,denuncio,denuncias,denuncia,denunciamos,denunciam
"Asking, answering & arguing",C2,472,requerer,to request,,,requeiro,requeres,requer,requeremos,requerem
"Asking, answering & arguing",C2,477,solicitar,to request,,,solicito,solicitas,solicita,solicitamos,solicitam
"Asking, answering & arguing",C2,495,rejeitar,to reject,,,rejeito,rejeitas,rejeita,rejeitamos,rejeitam
"Asking, answering & arguing",C2,499,convocar,to convene,,,convoco,convocas,convoca,convocamos,convocam
Emotions & attitudes,A1,57,gostar,to like,,,gosto,gostas,gosta,gostamos,gostam
Emotions & attitudes,A1,228,amar,to love,,,amo,amas,ama,amamos,amam
Emotions & attitudes,A2,229,interessar,to interest,,,interesso,interessas,interessa,interessamos,interessam
Emotions & attitudes,A2,314,preocupar,to worry,,,preocupo,preocupas,preocupa,preocupamos,preocupam
Emotions & attitudes,B1,191,desejar,to wish,,,desejo,desejas,deseja,desejamos,desejam
Emotions & attitudes,B1,209,aproveitar,to take advantage of / to enjoy,,,aproveito,aproveitas,aproveita,aproveitamos,aproveitam
Emotions & attitudes,B2,334,temer,to fear,,,temo,temes,teme,tememos,temem
Emotions & attitudes,B2,349,atrair,to attract,,,atraio,atrais,atrai,atraímos,atraem
Emotions & attitudes,B2,435,surpreender,to surprise,,,surpreendo,surpreendes,surpreende,surpreendemos,surpreendem
Emotions & attitudes,B2,450,ignorar,to ignore,,,ignoro,ignoras,ignora,ignoramos,ignoram
Emotions & attitudes,C1,438,satisfazer,to satisfy,,,satisfaço,satisfazes,satisfaz,satisfazemos,satisfazem
Emotions & attitudes,C2,461,admirar,to admire,,,admiro,admiras,admira,admiramos,admiram
"People, help & relationships",A1,55,tratar,to treat / to deal with,,,trato,tratas,trata,tratamos,tratam
"People, help & relationships",A1,135,ajudar,to help,,,ajudo,ajudas,ajuda,ajudamos,ajudam
"People, help & relationships",A2,113,participar,to participate,,,participo,participas,participa,participamos,participam
"People, help & relationships",A2,144,envolver,to get involved,,,envolvo,envolves,envolve,envolvemos,envolvem
"People, help & relationships",B1,168,casar,to marry,,,caso,casas,casa,casamos,casam
"People, help & relationships",B1,199,apoiar,to support,,,apóio,apóias,apóia,apoiamos,apóiam
"People, help & relationships",B1,231,dedicar,to dedicate,,,dedico,dedicas,dedica,dedicamos,dedicam
"People, help & relationships",B1,249,contribuir,to contribute,,,contribuo,contribuis,contribui,contribuímos,contribuem
"People, help & relationships",B1,281,cuidar,to care,,,cuido,cuidas,cuida,cuidamos,cuidam
"People, help & relationships",B2,325,respeitar,to respect,,,respeito,respeitas,respeita,respeitamos,respeitam
"People, help & relationships",C1,276,adoptar,to adopt,,,adoto,adotas,adota,adotamos,adotam
"People, help & relationships",C2,475,colaborar,to collaborate,,,colaboro,colaboras,colabora,colaboramos,colaboram
"Finding, searching & waiting",A1,20,encontrar,to find,,,encontro,encontras,encontra,encontramos,encontram
"Finding, searching & waiting",A1,56,esperar,to wait,,,espero,esperas,espera,esperamos,esperam
"Finding, searching & waiting",A1,68,procurar,to look for / to seek,,,procuro,procuras,procura,procuramos,procuram
"Finding, searching & waiting",A2,95,descobrir,to discover,,,descubro,descobres,descobre,descobrimos,descobrem
"Finding, searching & waiting",B1,193,buscar,to fetch,,,busco,buscas,busca,buscamos,buscam
"Finding, searching & waiting",B2,446,investigar,to investigate,,,investigo,investigas,investiga,investigamos,investigam
"Finding, searching & waiting",C1,405,explorar,to explore,,,exploro,exploras,explora,exploramos,exploram
"Finding, searching & waiting",C1,425,aguardar,to wait,,,aguardo,aguardas,aguarda,aguardamos,aguardam
"Giving, receiving & exchanging",A1,9,dar,to give,,,dou,dás,dá,damos,dão
"Giving, receiving & exchanging",A1,45,receber,to receive,,,recebo,recebes,recebe,recebemos,recebem
"Giving, receiving & exchanging",A1,257,ligar,to call / to turn on / to connect,,,ligo,ligas,liga,ligamos,ligam
"Giving, receiving & exchanging",A2,73,incluir,to include,,,incluo,incluis,inclui,incluímos,incluem
"Giving, receiving & exchanging",A2,140,oferecer,to offer,,,ofereço,ofereces,oferece,oferecemos,oferecem
"Giving, receiving & exchanging",B1,156,reunir,to gather,,,reúno,reúnes,reúne,reunimos,reúnem
"Giving, receiving & exchanging",B1,192,dividir,to split,,,divido,divides,divide,dividimos,dividem
"Giving, receiving & exchanging",B1,212,integrar,to integrate,,,integro,integras,integra,integramos,integram
"Giving, receiving & exchanging",B1,217,atribuir,to attribute,,,atribuo,atribuis,atribui,atribuímos,atribuem
"Giving, receiving & exchanging",B1,237,substituir,to replace,,,substituo,substituis,substitui,substituímos,substituem
"Giving, receiving & exchanging",B1,255,prestar,to provide / to lend / to be useful,,,presto,prestas,presta,prestamos,prestam
"Giving, receiving & exchanging",B1,265,fornecer,to provide,,,forneço,forneces,fornece,fornecemos,fornecem
"Giving, receiving & exchanging",B1,271,juntar,to join,,,junto,juntas,junta,juntamos,juntam
"Giving, receiving & exchanging",B1,280,introduzir,to introduce,,,introduzo,introduzes,introduz,introduzimos,introduzem
"Giving, receiving & exchanging",B2,303,conceder,to grant,,,concedo,concedes,concede,concedemos,concedem
"Giving, receiving & exchanging",B2,305,separar,to separate,,,separo,separas,separa,separamos,separam
"Giving, receiving & exchanging",B2,307,unir,to join,,,uno,unes,une,unimos,unem
"Giving, receiving & exchanging",B2,335,trocar,to exchange,,,troco,trocas,troca,trocamos,trocam
"Giving, receiving & exchanging",C1,384,distribuir,to distribute,,,distribuo,distribuis,distribui,distribuímos,distribuem
"Giving, receiving & exchanging",C1,385,espalhar,to spread,,,espalho,espalhas,espalha,espalhamos,espalham
"Money, buying & selling",A1,46,perder,to lose,,,perco,perdes,perde,perdemos,perdem
"Money, buying & selling",A1,76,ganhar,to win,,,ganho,ganhas,ganha,ganhamos,ganham
"Money, buying & selling",A1,79,pagar,to pay,,,pago,pagas,paga,pagamos,pagam
"Money, buying & selling",A1,124,vender,to sell,,,vendo,vendes,vende,vendemos,vendem
"Money, buying & selling",A1,126,comprar,to buy,,,compro,compras,compra,compramos,compram
"Money, buying & selling",A2,227,custar,to cost,,,custo,custas,custa,custamos,custam
"Money, buying & selling",A2,251,importar,to matter / to import,,,importo,importas,importa,importamos,importam
"Money, buying & selling",B1,211,promover,to promote,,,promovo,promoves,promove,promovemos,promovem
"Money, buying & selling",B2,357,gastar,to spend,,,gasto,gastas,gasta,gastamos,gastam
"Money, buying & selling",B2,366,investir,to invest,,,invisto,investes,investe,investimos,investem
"Money, buying & selling",C1,393,estimar,to estimate,,,estimo,estimas,estima,estimamos,estimam
"Money, buying & selling",C1,398,roubar,to steal,,,roubo,roubas,rouba,roubamos,roubam
"Money, buying & selling",C1,401,cobrar,to charge (money) / to demand,,,cobro,cobras,cobra,cobramos,cobram
"Money, buying & selling",C1,403,negociar,to negotiate,,,negociio,negociias,negociia,negociamos,negociiam
"Joining, separating & organizing",B1,333,arranjar,to arrange,,,arranjo,arranjas,arranja,arranjamos,arranjam
"Joining, separating & organizing",C1,381,organizar,to organize,,,organizo,organizas,organiza,organizamos,organizam
"Joining, separating & organizing",C1,449,ordenar,to order / to sort,,,ordeno,ordenas,ordena,ordenamos,ordenam
"Joining, separating & organizing",C2,485,classificar,to classify / to sort,,,classifico,classificas,classifica,classificamos,classificam
"Joining, separating & organizing",C2,487,conferir,to confer,,,confiro,conferes,confere,conferimos,conferem
"Measuring, checking & analyzing",B1,188,verificar,to check,,,verifico,verificas,verifica,verificamos,verificam
"Measuring, checking & analyzing",B1,239,analisar,to analyze,,,analiso,analisas,analisa,analisamos,analisam
"Measuring, checking & analyzing",B1,254,pesar,to weigh / to grieve,,,peso,pesas,pesa,pesamos,pesam
"Measuring, checking & analyzing",B1,340,comparar,to compare,,,comparo,comparas,compara,comparamos,comparam
"Measuring, checking & analyzing",B2,309,avaliar,to evaluate,,,avalio,avalias,avalia,avaliamos,avaliam
"Measuring, checking & analyzing",B2,342,calcular,to calculate,,,calculo,calculas,calcula,calculamos,calculam
"Measuring, checking & analyzing",B2,379,medir,to measure,,,meço,medes,mede,medimos,medem
"Measuring, checking & analyzing",C1,432,apurar,to ascertain,,,apuro,apuras,apura,apuramos,apuram
"Force, conflict & law",A2,109,defender,to defend,,,defendo,defendes,defende,defendemos,defendem
"Force, conflict & law",B1,165,vencer,to win,,,venço,vences,vence,vencemos,vencem
"Force, conflict & law",B1,171,julgar,to judge,,,julgo,julgas,julga,julgamos,julgam
"Force, conflict & law",B1,260,enfrentar,to face,,,enfrento,enfrentas,enfrenta,enfrentamos,enfrentam
"Force, conflict & law",B1,267,conquistar,to conquer,,,conquisto,conquistas,conquista,conquistamos,conquistam
"Force, conflict & law",B2,283,dominar,to dominate,,,domino,dominas,domina,dominamos,dominam
"Force, conflict & law",B2,292,proteger,to protect,,,protejo,proteges,protege,protegemos,protegem
"Force, conflict & law",B2,319,atacar,to attack,,,ataco,atacas,ataca,atacamos,atacam
"Force, conflict & law",B2,320,lutar,to fight,,,luto,lutas,luta,lutamos,lutam
"Force, conflict & law",B2,328,disputar,to dispute,,,disputo,disputas,disputa,disputamos,disputam
"Force, conflict & law",B2,343,ameaçar,to threaten,,,ameaço,ameaças,ameaça,ameaçamos,ameaçam
"Force, conflict & law",B2,362,invadir,to invade,,,invado,invades,invade,invadimos,invadem
"Force, conflict & law",C1,410,reagir,to react,,,reajo,reages,reage,reagimos,reagem
"Force, conflict & law",C2,399,comandar,to command,,,comando,comandas,comanda,comandamos,comandam
"Force, conflict & law",C2,451,governar,to rule,,,governo,governas,governa,governamos,governam
"Force, conflict & law",C2,455,condenar,to condemn,,,condeno,condenas,condena,condenamos,condenam
"Force, conflict & law",C2,473,combater,to fight,,,combato,combates,combate,combatemos,combatem
"Allowing, forcing & controlling",A1,63,permitir,to allow,,,permito,permites,permite,permitimos,permitem
"Allowing, forcing & controlling",A2,122,garantir,to guarantee,,,garanto,garantes,garante,garantimos,garantem
"Allowing, forcing & controlling",B1,160,evitar,to avoid,,,evito,evitas,evita,evitamos,evitam
"Allowing, forcing & controlling",B1,180,obrigar,to oblige,,,obrigo,obrigas,obriga,obrigamos,obrigam
"Allowing, forcing & controlling",B1,224,impedir,to prevent,,,impeço,impedes,impede,impedimos,impedem
"Allowing, forcing & controlling",B1,277,controlar,to control,,,controlo,controlas,controla,controlamos,controlam
"Allowing, forcing & controlling",B1,480,proibir,to ban,,,proíbo,proíbes,proíbe,proibimos,proíbem
"Allowing, forcing & controlling",B2,300,assegurar,to secure,,,asseguro,asseguras,assegura,asseguramos,asseguram
"Allowing, forcing & controlling",B2,317,impor,to impose,,,imponho,impões,impõe,impomos,impõem
"Play, arts & leisure",A1,143,tocar,to touch / to play (music),,,toco,tocas,toca,tocamos,tocam
"Play, arts & leisure",A1,150,jogar,to play (a game) / to throw,,,jogo,jogas,joga,jogamos,jogam
"Play, arts & leisure",A1,201,cantar,to sing,,,canto,cantas,canta,cantamos,cantam
"Play, arts & leisure",A1,286,visitar,to visit,,,visito,visitas,visita,visitamos,visitam
"Play, arts & leisure",A1,296,viajar,to travel,,,viajo,viajas,viaja,viajamos,viajam
"Play, arts & leisure",A1,406,brincar,to play (fun),,,brinco,brincas,brinca,brincamos,brincam
"Play, arts & leisure",A1,431,dançar,to dance,,,danço,danças,dança,dançamos,dançam
"Play, arts & leisure",B1,232,assistir,to watch / to attend,,,assisto,assistes,assiste,assistimos,assistem
"Play, arts & leisure",B1,378,pintar,to paint,,,pinto,pintas,pinta,pintamos,pintam
"Play, arts & leisure",B1,454,desenhar,to draw,,,desenho,desenhas,desenha,desenhamos,desenham
